_id,objectid,code,acres,sqmiles,created_user,created_date,last_edited_user,last_edited_date,landslideprone,shape_length,shape_area
3202,1,p,911.371,1.424,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,119881.12095237,39699313.293457
3203,2,p,721.516,1.127,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,110063.007037757,31429218.6397705
3204,3,p,19.157,0.03,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,4699.17085595429,834469.91229248
3205,4,p,24.743,0.039,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,13405.2029381352,1077809.90014648
3206,5,p,453.695,0.709,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,103794.359492089,19762956.4951782
3207,6,p,246.52,0.385,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,59364.2886059265,10738419.7250366
3208,7,p,9.586,0.015,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,2911.49608175403,417559.489562988
3209,8,p,3.9,0.006,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,2593.45660509846,169876.982849121
3210,9,p,111.811,0.175,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,39007.5734512142,4870502.77368164
3211,10,p,84.537,0.132,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,19646.0467792771,3682433.93041992
3212,11,p,1.654,0.003,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,1227.27847827893,72036.7061157227
3213,12,p,13.71,0.021,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,6205.30226414809,597201.497924805
3214,13,p,6.246,0.01,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,2590.86259603171,272089.940734863
3215,14,p,5.535,0.009,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,3685.23881581452,241110.024169922
3216,15,p,43.316,0.068,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,16863.7255280475,1886842.03430176
3217,16,p,568.816,0.889,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,126100.788486109,24777611.8065186
3218,17,p,44.423,0.069,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,14959.9193445779,1935050.86938477
3219,18,p,38.777,0.061,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,18260.8687885424,1689104.99401855
3220,19,p,516.954,0.808,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,72229.6122156449,22518519.0201416
3221,20,p,13.429,0.021,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,5898.40653396129,584961.385009766
3222,21,p,8.417,0.013,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,5572.12663640696,366625.362304688
3223,22,p,1054.607,1.648,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,149761.984354272,45938672.4446106
3224,23,p,120.328,0.188,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,46847.5130939721,5241479.91894531
3225,24,p,173.118,0.27,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,42293.948962224,7541034.06542969
3226,25,p,205.988,0.322,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,40990.154920585,8972818.55325317
3227,26,p,200.483,0.313,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,53577.1318376891,8733023.76480103
3228,27,p,192.413,0.301,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,40792.3441463162,8381500.60949707
3229,28,p,186.041,0.291,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,44161.5111050202,8103961.14508057
3230,29,p,525.429,0.821,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,83709.2288160287,22887674.6772766
3231,30,p,49.62,0.078,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,13696.8161355408,2161441.16479492
3232,31,p,89.803,0.14,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,22013.5252149898,3911807.65625
3233,32,p,113.537,0.177,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,16895.7363887083,4945691.66207886
3234,33,p,93.202,0.146,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,19358.5020527754,4059882.07165527
3235,34,p,12.22,0.019,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,4518.13412007787,532310.420532227
3236,35,p,19.897,0.031,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,9889.07164431943,866702.784088135
3237,36,p,216.452,0.338,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,42631.108198368,9428644.92428589
3238,37,p,280.649,0.439,pgh.admin,3/19/2018 7:03:26 PM,pgh.admin,3/19/2018 7:03:26 PM,Yes,36743.1938130369,12225066.9898071
